THE MOUSETRAP — A2+ ADDITION CANDIDATES — PART 2 / 292-582
Scope: global speeches 292-582 (291 speeches)
Policy: screening list, not official CEFR certification. Clear A1/basic items are excluded; uncertain content words are kept to minimize omissions.
Dictionary definitions are NOT created in this phase. Existing vocabulary/dictionary data are NOT modified.

PIPELINE
1. Extracted non-A1 candidate occurrences: 1156
2. After normalized/headword deduplication: 552
3. After removing already-implemented dictionary/vocabulary items: 267

FINAL ADDITION CANDIDATES
word	occurrences	firstSpeechId	surfaceForms
safe	1	act1-scene2-speech-0313	safe
seem	7	act1-scene2-speech-0103	seem, seemed, seems
send	3	act1-scene2-speech-0140	send, sending
sent	1	act1-scene2-speech-0195	sent
served	1	act1-scene2-speech-0189	served
shut	2	act1-scene2-speech-0295	shut, shutting
sign	1	act2-speech-0025	sign
simple	1	act2-speech-0026	simple
sir	9	act1-scene2-speech-0103	sir
sleep	1	act1-scene2-speech-0130	sleep
slipped	1	act2-speech-0007	slipped
snow	6	act1-scene2-speech-0121	snow
sofa	1	act1-scene2-speech-0308	sofa
soft	1	act1-scene2-speech-0324	soft
somebody	1	act1-scene2-speech-0196	somebody
someone	4	act1-scene2-speech-0107	someone
something	4	act1-scene2-speech-0177	something
sometime	3	act1-scene2-speech-0288	sometimes
somewhere	1	act1-scene2-speech-0146	somewhere
sort	2	act1-scene2-speech-0311	sort
sound	1	act1-scene2-speech-0105	sounds
spoke	1	act1-scene2-speech-0324	spoke
spoken	1	act1-scene2-speech-0256	spoken
sport	1	act1-scene2-speech-0149	sports
st	1	act1-scene2-speech-0103	st
stanning	8	act1-scene2-speech-0183	stanning, stannings
staying	2	act1-scene2-speech-0222	staying
stone	1	act1-scene2-speech-0141	stones
story	1	act1-scene2-speech-0105	story
stow	2	act1-scene2-speech-0146	stow
straight	1	act1-scene2-speech-0283	straight
study	1	act1-scene2-speech-0334	study
such	2	act1-scene2-speech-0127	such
suggesting	1	act1-scene2-speech-0196	suggesting
suppose	5	act1-scene2-speech-0149	suppose
swing	1	act2-speech-0022	swing
switched	2	act2-speech-0022	switched
